id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3qaSqrrevBrb84xl5JlptU,Dakota,70,297427,0,['Stereophonics'],['21UJ7PRWb3Etgsu99f8yo8'],2005-01-01,0.506,0.93,4,-3.499,1,0.0675,0.129,0.00682,0.0931,0.305,146.994,4
7clUVcSOtkNWa58Gw5RfD4,Speed of Sound,70,287907,0,['Coldplay'],['4gzpq5DPGxSnKTe4SA8HAU'],2005-06-07,0.514,0.898,11,-6.765,0,0.0577,0.00488,0.0345,0.0746,0.353,123.067,4
5E3P9e1hvjyIOlFyqNB5eD,Rich Girl,70,144333,0,['Daryl Hall & John Oates'],['77tT1kLj6mCWtFNqiOmP9H'],2005-04-25,0.598,0.643,5,-6.303,1,0.134,0.5,0.0,0.0435,0.823,167.971,4
5vfjUAhefN7IjHbTvVCT4Z,Holiday,70,233027,0,['Green Day'],['7oPftvlwr6VrsViSDV7fJY'],2005-03-30,0.538,0.884,8,-3.251,1,0.031,0.000138,0.0,0.466,0.736,146.511,4
3hb2ScEVkGchcAQqrPLP0R,Photograph,69,258920,0,['Nickelback'],['6deZN1bslXzeGvOLaLMOIF'],2005-09-26,0.515,0.876,8,-3.756,1,0.0292,0.000932,0.000166,0.136,0.385,145.916,4
1dnXuEuApvuVqQCn0v9McL,"Sitting, Waiting, Wishing",69,183720,0,['Jack Johnson'],['3GBPw9NK25X1Wt2OUvOwY3'],2005-01-01,0.766,0.547,0,-7.25,1,0.0264,0.229,1.5e-05,0.104,0.556,105.01,4
03EnOL1O9EKi9CFNmPyrCm,Please Forgive Me,69,355640,0,['Bryan Adams'],['3Z02hBLubJxuFJfhacLSDc'],2005-01-01,0.555,0.46,9,-7.032,1,0.0277,0.497,0.0,0.103,0.146,67.027,3
006pMMCuRo2TFjh8sNGSov,"Dias De Luta, Dias De Gloria",69,145467,0,['Charlie Brown Jr.'],['1on7ZQ2pvgeQF4vmIA09x5'],2005-01-01,0.346,0.433,3,-10.602,0,0.065,0.888,0.0,0.101,0.768,77.963,3
4GIsskMpViPkt0uzPJTJSp,"Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster",69,286187,1,"['The Notorious B.I.G.', 'Avery Storm', 'Diddy', 'Jagged Edge', 'Nelly']","['5me0Irg2ANcsgc93uaYrpb', '79OSA519ScnPY0MVDpu8ZV', '59wfkuBoNyhDMQGCljbUbA', '7Aq8lpLMSt1Zxu56pe9bmp', '2gBjLmx6zQnFGQJCAQpRgw']",2005-12-13,0.833,0.628,2,-7.041,1,0.141,0.0949,1.6e-06,0.282,0.645,106.328,4
3duP6mBVDsHM8ioN7o7dAK,Boondocks,69,272347,0,['Little Big Town'],['3CygdxquGHurS7f9LjNLkv'],2005-01-01,0.41,0.78,9,-5.391,1,0.0332,0.211,0.0,0.48,0.695,88.016,4
2rYjkYQWpn66nf5Ihk7SHJ,Ángel,69,289600,0,['Elefante'],['5oYHL2SijkMY52gKIhYJNb'],2005,0.64,0.818,1,-4.61,0,0.0456,0.00818,1.25e-05,0.275,0.763,137.003,4
20jYtEun4dUdYZ9foaOC48,My Humps,69,326960,0,['Black Eyed Peas'],['1yxSLGMDHlW21z4YXirZDS'],2005-01-01,0.802,0.682,1,-5.924,0,0.222,0.111,1.39e-05,0.109,0.586,123.95,4
0INUE1K7cEiE8VH63Rv5RJ,Happy?,69,216427,1,['Mudvayne'],['2Pfv2w8a20xzC7Dr7QXRqM'],2005,0.546,0.97,5,-2.661,0,0.097,0.000823,2.08e-05,0.275,0.383,100.065,4
5JFLXnWbJ0gsLFalPc5vpH,Lo Grande Que Es Perdonar,69,281813,0,"['Vico C', 'Gilberto Santa Rosa']","['0ciTdf9bGl9L3JM1Z0nLCT', '27vNK840zYq6IfDijHPsv1']",2005-01-01,0.629,0.842,9,-3.183,0,0.231,0.178,0.0,0.385,0.505,167.809,4
6oO7WMjD6kEvCITLbVj0mu,Hypnotize,69,189440,0,['System Of A Down'],['5eAWCfyUhZtHHtBdNk56l1'],2005-11-22,0.274,0.92,6,-4.096,1,0.0489,0.0303,0.000412,0.115,0.0397,154.016,4
3vFZheR74pxUkzxqhXTZ2X,Ruler of Everything,68,222107,0,['Tally Hall'],['7lqaPghwYv2mE9baz5XQmL'],2005-10-24,0.58,0.791,11,-7.604,0,0.324,0.196,0.00326,0.0793,0.343,83.323,4
0Bo5fjMtTfCD8vHGebivqc,Axel F,68,168880,0,['Crazy Frog'],['4J3wzDMI97AlGimdiVcaLb'],2005-08-01,0.86,0.907,2,-3.321,1,0.0407,0.279,0.693,0.0648,0.786,138.045,4
21Ullb4TU8qMsQd0Iselng,Sabes Una Cosa,68,200387,0,['Luis Miguel'],['2nszmSgqreHSdJA3zWPyrW'],2005-09-06,0.437,0.522,0,-7.048,1,0.031,0.268,0.0,0.126,0.72,169.366,3
314QzMOrpNUqWBUozYshf6,Buttons,68,225560,0,['The Pussycat Dolls'],['6wPhSqRtPu1UhRCDX5yaDJ'],2005-01-01,0.565,0.817,2,-4.338,1,0.27,0.152,0.0,0.247,0.477,210.851,4
6gxycjJNMgmAyfzUXBN80P,Goodbye My Lover,68,258653,0,['James Blunt'],['7KMqksf0UMdyA0UCf4R3ux'],2005-08-08,0.432,0.261,4,-12.591,1,0.0512,0.953,0.00342,0.0903,0.273,89.567,4
0UaMYEvWZi0ZqiDOoHU3YI,Lose Control (feat. Ciara & Fat Man Scoop),68,226864,1,"['Missy Elliott', 'Ciara', 'Fatman Scoop']","['2wIVse2owClT7go1WT98tk', '2NdeV5rLm47xAvogXrYhJX', '15GGbJKqC6w0VYyAJtjej6']",2005-07-04,0.904,0.813,4,-7.105,0,0.121,0.0311,0.00697,0.0471,0.81,125.461,4
22AbXxQbMdVqEz7xJjhccG,Welcome To Jamrock,68,213200,0,['Damian Marley'],['3QJzdZJYIAcoET1GcfpNGi'],2005-01-01,0.836,0.661,7,-6.502,0,0.338,0.0208,0.0,0.449,0.753,76.71,4
2ZA4uMlSZjaoWGFqP1tsLI,Ordinary People,68,281467,0,['John Legend'],['5y2Xq6xcjJb2jVM54GHK3t'],2005-12-06,0.469,0.132,10,-14.001,1,0.0798,0.928,0.0,0.0873,0.36,66.989,3
1RSy7B2vfPi84N80QJ6frX,Blue Monday - 2016 Remaster,68,450800,0,['New Order'],['0yNLKJebCb8Aueb54LYya3'],2005-09-30,0.793,0.703,0,-9.548,1,0.0581,0.000726,0.88,0.075,0.856,130.27,4
70dJEanFPdYuWZumkrnKeX,Ela Vai Voltar (Todos Os Defeitos De Uma Mulher Perfeita),68,188200,0,['Charlie Brown Jr.'],['1on7ZQ2pvgeQF4vmIA09x5'],2005-01-01,0.676,0.657,6,-7.28,1,0.0272,0.424,0.000147,0.13,0.879,105.002,4
77VW8u6inET54YAKN1RSnd,Twisted Transistor,68,188933,1,['Korn'],['3RNrq3jvMZxD9ZyoOZbQOD'],2005-12-06,0.58,0.983,5,-3.291,0,0.0636,0.00043,0.00694,0.0801,0.416,110.053,4
5qrzhg9Fmu8Amg2uMhHfe5,One Wish,68,337640,0,['Ray J'],['6gbGGM0E8Q1hE511psqxL0'],2005-09-05,0.525,0.652,5,-7.042,0,0.28,0.278,0.0,0.339,0.602,127.673,4
4Xtlw8oXkIOvzV7crUBKeZ,Rompe,68,188627,1,['Daddy Yankee'],['4VMYDCV2IEDYJArk749S6m'],2005-01-01,0.696,0.858,9,-5.155,1,0.0859,0.0727,3.19e-06,0.0631,0.533,176.061,4
3uU6dqBjVKRTPis0RrTaT4,Las de la Intuición,68,220667,0,['Shakira'],['0EmeFodog0BfCgMzAIvKQp'],2005-06-03,0.728,0.731,2,-7.075,0,0.0347,0.0331,0.351,0.0888,0.602,130.032,4
4etE2X6t7GmyiuYLIdI8H5,Redneck Yacht Club,68,230373,0,['Craig Morgan'],['6ktyNEnEukKzskQEiXgCFD'],2005-03-08,0.49,0.817,8,-5.405,1,0.0355,0.455,0.0,0.0885,0.808,168.115,4
1UL8GkVAs6UcWF6BZ3DYZt,Closer to the Sun,68,145560,0,['Slightly Stoopid'],['6MxlVTY6PmY8Nyn16fvxtb'],2005,0.572,0.728,7,-5.534,1,0.0275,0.203,0.00263,0.231,0.535,75.179,4
41pOIT2t1rvr2Trg1HQChZ,Radio/Video,67,249227,0,['System Of A Down'],['5eAWCfyUhZtHHtBdNk56l1'],2005-05-17,0.358,0.921,6,-2.467,0,0.0695,0.171,7.64e-06,0.358,0.476,139.256,4
5auMzVHFr5Zfw6IbKarZ56,Breathe (2 AM),67,279827,0,['Anna Nalick'],['4LoM3lMauQ540MW9QiyIcR'],2005,0.386,0.452,2,-7.715,1,0.0278,0.417,0.0,0.0881,0.287,169.837,3
6uGQKWdjmKvgH1QdDCcM8N,Foxtrot Uniform Charlie Kilo,67,171973,0,['Bloodhound Gang'],['6nDLku5uL3ou60kvCGZorh'],2005-01-01,0.767,0.599,10,-5.176,0,0.0404,0.00436,0.0381,0.0714,0.788,137.035,4
6TefPQD0oc88BNALpu4U87,Must Be Doin' Somethin' Right,67,269587,0,['Billy Currington'],['1By9QBFnjZAoI83BZppHlt'],2005-01-01,0.489,0.647,9,-3.424,1,0.027,0.205,0.0,0.0504,0.436,167.792,4
0OEBOJhSObnFuHuasXdt52,Dia de Enero,67,173133,0,['Shakira'],['0EmeFodog0BfCgMzAIvKQp'],2005-06-03,0.687,0.361,10,-11.589,1,0.0792,0.35,1.11e-05,0.11,0.526,165.747,4
4stm6lf1vQBSl7Eq4Npzr0,Big City Life,67,240893,0,['Mattafix'],['5KORW1YGiERJqfuYjXMCyz'],2005,0.69,0.618,2,-9.36,1,0.0904,0.0175,3.26e-06,0.0891,0.733,174.038,4
4ClGNWLK9vZMBtO0CpnyOE,Land of Confusion,67,287067,0,['Disturbed'],['3TOqt5oJwL9BE2NG9MEwDa'],2005-09-19,0.553,0.991,8,-3.703,1,0.0925,4.44e-05,0.0695,0.179,0.324,114.92,4
5ZdzNVOmCSp5HFLk0EgvJS,Dirty Little Secret,67,193653,0,['The All-American Rejects'],['3vAaWhdBR38Q02ohXqaNHT'],2005-01-01,0.469,0.955,10,-4.253,1,0.0432,0.000343,1.35e-06,0.548,0.462,143.853,4
6ljbkNIzfmFrGyYUTUAleN,Remember the Name (feat. Styles of Beyond),67,230493,1,"['Fort Minor', 'Styles Of Beyond']","['7dWYWUbO68rXJOcyA7SpJk', '5bf6yYgHODBW5EreBZshpX']",2005-11-15,0.688,0.835,8,-4.162,1,0.0911,0.0583,2.87e-06,0.0795,0.88,84.858,4
5F7IJrXD6Fa3EmqoYE0gU4,Say Goodbye,67,289760,0,['Chris Brown'],['7bXgB6jMjp9ATFy66eO08Z'],2005,0.8,0.502,1,-6.062,1,0.0371,0.00167,0.0,0.0784,0.388,115.091,4
5l6hpyTGBK0LAAxgPnqTQL,Look After You,67,266773,0,['The Fray'],['0zOcE3mg9nS6l3yxt1Y0bK'],2005-09-13,0.447,0.592,6,-3.015,0,0.0319,0.0575,4.47e-06,0.13,0.283,78.039,4
3jEqrIfwKO0M8ALu3TGilF,Like You (feat. Ciara),67,205840,0,"['Bow Wow', 'Ciara']","['7352aRY2mqSxBZwzUb6LmA', '2NdeV5rLm47xAvogXrYhJX']",2005,0.714,0.6,6,-8.365,1,0.0876,0.0465,0.0,0.0646,0.504,82.017,4
